,date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
176,2022-06-14,82.19212240501636,82.26020271640868,33.45138780820241,93.68810626535195,141.07068049320378,72.64071686083551,71.3289038130864,130.86844149705468,155.19858591709544
177,2022-06-15,81.61324045996781,81.88051557011127,33.19867164123035,93.19271318701581,140.22536334425232,72.37387841731302,70.9882968117654,130.326219947942,154.04274297000958
178,2022-06-16,81.08230578370268,81.22012201611061,33.00946047453293,92.7350178984953,139.6531049395012,72.12119921121622,70.74734568406723,129.73748851678243,153.1545023456896
179,2022-06-17,80.42955509838873,80.11162840065268,32.814676969128016,92.22226045609462,139.11141154688804,71.82982024955592,70.47557515327324,129.21284675282482,152.14593047556215
180,2022-06-21,79.9096382897465,78.81275757317643,32.638466201433104,91.77623842245862,138.48715387029836,71.5694101646267,70.20920834959662,128.96889423870607,150.96190101364974
181,2022-06-22,79.477208517761,78.55756899327267,32.48796994012283,91.37192265648358,137.92230663330812,71.40471587667517,70.02750724257993,128.8033512618292,150.14515602632747
182,2022-06-23,78.93571311931254,77.54158033661284,32.40602931167926,90.97409284733939,137.52748837694062,71.33980371132358,69.84441293824736,128.80436091165228,149.4537863383048
183,2022-06-24,78.4152265351949,76.56792840386292,32.31048638197106,90.70790203760005,137.3720960489872,71.36333007813091,69.7899874502935,129.08799332372053,148.90383165756128
184,2022-06-27,78.24157089583025,76.10643380074038,32.30241157855772,90.6743961520107,137.37787643691397,71.51976859103422,69.77333482889298,129.536574801005,148.63399867856356
185,2022-06-28,77.92652149707064,76.02923953862198,32.268456702521455,90.59007137615416,137.37023922046322,71.6811612169865,69.7731407205029,129.9397088382133,148.48116767900592
186,2022-06-29,77.60470104556865,76.15984095571744,32.199357805435355,90.50604741956238,137.23920363884375,71.74156964320267,69.74934052725479,130.12252804539645,148.1171647051251
187,2022-06-30,77.24354952302443,75.72153182826932,32.13271911917138,90.32070117581144,137.1626296451489,71.7553109077158,69.6933183412535,130.18527151283428,147.5146248114134
