,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-02-28,53.56010055541992,51.591190338134766,25.921815872192383,69.76899719238281,64.22820281982422,46.44790267944336,41.49163055419922,76.93370819091797,98.51651000976562
2018-03-01,53.01219177246094,51.513893127441406,25.47287368774414,68.40365600585938,63.16354751586914,46.34355926513672,41.500099182128906,75.70846557617188,97.45628356933594
2018-03-02,52.95830535888672,51.7535285949707,25.535730361938477,68.38544464111328,63.766536712646484,46.734893798828125,41.390159606933594,76.47652435302734,97.55095672607422
2018-03-05,53.65890121459961,52.302371978759766,25.894882202148438,69.20466613769531,64.41663360595703,47.14362335205078,42.23588943481445,77.17144775390625,98.71529388427734
2018-03-06,54.2517204284668,52.33328628540039,26.002628326416016,69.51412200927734,64.55797576904297,47.178409576416016,41.66924285888672,77.06169891357422,99.39686584472656
2018-03-07,54.054107666015625,51.93904495239258,25.95772933959961,69.5050277709961,64.9159927368164,46.752288818359375,41.356319427490234,77.45490264892578,98.72476959228516
2018-03-08,54.099021911621094,51.92357635498047,26.038537979125977,69.86913299560547,65.1986312866211,47.178409576416016,41.66078186035156,77.97605895996094,99.03717803955078
2018-03-09,55.078067779541016,52.91303634643555,26.667057037353516,71.40739440917969,66.43289184570312,47.48280715942383,41.77919006347656,79.10072326660156,100.57070922851562
2018-03-12,54.943336486816406,52.89759063720703,26.5772705078125,70.52449798583984,66.64016723632812,47.39582824707031,41.95679473876953,78.76239776611328,100.90203094482422
2018-03-13,54.718788146972656,52.51881408691406,26.280967712402344,70.17860412597656,65.87700653076172,47.36104202270508,42.04982376098633,78.86296844482422,100.19205474853516
2018-03-14,54.04513168334961,52.20960998535156,25.984668731689453,69.41402435302734,65.82047271728516,46.88273620605469,42.48114776611328,78.47896575927734,100.06901550292969
2018-03-15,53.335548400878906,51.93904495239258,25.99364471435547,69.6142807006836,65.858154296875,46.552268981933594,42.455780029296875,78.35094451904297,99.96487426757812
2018-03-16,53.331947326660156,52.40227127075195,26.016176223754883,69.98622131347656,65.79008483886719,46.56889724731445,42.82823181152344,78.35095977783203,99.86042022705078
2018-03-19,52.56554412841797,51.592613220214844,25.826936721801758,69.44700622558594,64.48584747314453,46.1141357421875,42.56401824951172,77.08470916748047,98.6166763305664
2018-03-20,52.51144790649414,52.02857971191406,25.890016555786133,69.68463897705078,64.45747375488281,45.98295211791992,42.36798095703125,77.19482421875,99.20531463623047
2018-03-21,53.106536865234375,53.390995025634766,25.88100242614746,69.76689147949219,64.06998443603516,45.41450119018555,42.22309494018555,76.86449432373047,99.1293716430664
2018-03-22,51.5196533203125,52.30107116699219,24.925783157348633,67.46385955810547,62.41602325439453,45.03845977783203,42.41059494018555,74.65316009521484,97.02165222167969
2018-03-23,50.50981521606445,51.981868743896484,24.1688232421875,66.47685241699219,60.75259780883789,44.47875213623047,41.81398391723633,73.10246276855469,95.11331939697266
2018-03-26,51.54669189453125,52.91610336303711,24.952817916870117,68.08531188964844,63.0587043762207,45.11716842651367,42.24866485595703,74.61647033691406,97.92359924316406
2018-03-27,51.02375030517578,52.417842864990234,24.46619987487793,67.14398956298828,61.03614044189453,45.09092712402344,42.85380172729492,73.7355728149414,96.00577545166016
2018-03-28,50.37456512451172,51.39798355102539,24.511259078979492,66.91553497314453,60.62972640991211,45.71184539794922,42.836753845214844,74.13013458251953,94.8379898071289
2018-03-29,51.33932113647461,52.480133056640625,24.84467887878418,67.89339447021484,61.830047607421875,46.02668380737305,43.066871643066406,74.68986511230469,96.16716766357422
2018-04-02,50.221290588378906,51.429115295410156,24.294979095458984,66.4951400756836,60.35565185546875,44.89853286743164,42.734466552734375,72.99236297607422,93.45181274414062
2018-04-03,50.9335823059082,52.52682876586914,24.628408432006836,67.41815948486328,60.951080322265625,45.49321365356445,42.879371643066406,74.10263061523438,94.63859558105469
2018-04-04,51.267181396484375,52.456764221191406,24.889741897583008,67.71060180664062,61.80168914794922,46.20158386230469,42.97312545776367,75.15782928466797,96.37604522705078
2018-04-05,52.22292709350586,53.39876937866211,25.087993621826172,68.39603424072266,62.05685806274414,46.31527328491211,43.31403732299805,75.1027603149414,97.66727447509766
2018-04-06,50.95161056518555,52.433414459228516,24.484222412109375,66.50428009033203,60.53522491455078,45.843013763427734,42.97312545776367,73.29515838623047,95.58799743652344
2018-04-09,51.23112106323242,52.68254089355469,24.619394302368164,66.30320739746094,61.00779342651367,45.81678771972656,43.05835723876953,74.02003479003906,95.36016082763672
2018-04-10,52.286041259765625,54.42644500732422,24.988866806030273,67.317626953125,62.510536193847656,45.92172622680664,42.72594451904297,75.26793670654297,96.5184555053711
2018-04-11,51.89833450317383,54.994747161865234,24.691490173339844,66.82414245605469,62.14194107055664,45.83427047729492,42.666297912597656,74.65316009521484,96.22412872314453
2018-04-12,52.448326110839844,54.986961364746094,25.12403678894043,67.78370666503906,62.888580322265625,45.76432418823242,42.1037712097168,75.15782928466797,96.64187622070312
2018-04-13,52.39423751831055,55.594215393066406,24.745553970336914,67.61922454833984,62.68064880371094,45.99169158935547,42.4361686706543,75.1211166381836,96.1007080078125
2018-04-16,53.09750747680664,56.16252899169922,24.85369873046875,68.2955093383789,63.16266632080078,46.490177154541016,43.015743255615234,75.717529296875,96.822265625
2018-04-17,53.70161056518555,56.38051223754883,24.85369873046875,68.87126922607422,64.33463287353516,46.595115661621094,43.45040512084961,76.30479431152344,98.62618255615234
2018-04-18,54.08932113647461,57.268028259277344,24.736541748046875,69.58409881591797,64.16448974609375,46.24530029296875,43.28847122192383,76.3690185546875,99.09141540527344
2018-04-19,53.4852180480957,57.338096618652344,25.11503028869629,69.3921890258789,63.45566940307617,44.90727615356445,43.262901306152344,75.72672271728516,98.778076171875
2018-04-20,53.19670104980469,57.065616607666016,25.12403678894043,69.0905990600586,62.576690673828125,44.155174255371094,42.870845794677734,75.32296752929688,97.77171325683594
2018-04-23,53.043426513671875,57.415950775146484,25.097000122070312,69.00835418701172,62.34986114501953,44.10270309448242,42.89641571044922,75.61661529541016,97.98057556152344
2018-04-24,51.60980987548828,56.8009147644043,24.934797286987305,67.08001708984375,61.262977600097656,43.82286071777344,43.18619155883789,75.04771423339844,96.4330062866211
2018-04-25,51.88931655883789,57.252464294433594,24.916772842407227,67.2719497680664,61.272422790527344,43.90156173706055,43.19472122192383,75.38722229003906,96.83177947998047
2018-04-26,52.21390914916992,58.08547592163086,24.925783157348633,67.02518463134766,62.387664794921875,44.163909912109375,43.629390716552734,76.34146881103516,98.39832305908203
2018-04-27,52.07866668701172,57.47044372558594,24.96182632446289,66.88810729980469,62.27425003051758,44.40004348754883,44.072593688964844,76.65345764160156,98.84455871582031
2018-04-30,51.40243148803711,57.4626579284668,24.736541748046875,66.00161743164062,61.86785125732422,44.12018585205078,43.94475173950195,75.47897338867188,98.45527648925781
2018-05-01,51.35736083984375,57.11232376098633,24.745553970336914,65.7000503540039,62.64282989501953,43.73539733886719,43.808372497558594,75.44227600097656,98.58821868896484
2018-05-02,51.24014663696289,57.345882415771484,24.46619987487793,65.1242904663086,62.576690673828125,42.878353118896484,43.76576232910156,74.40541076660156,97.91410827636719
2018-05-03,51.47456741333008,57.213539123535156,24.258934020996094,65.2796401977539,62.71845245361328,42.834632873535156,43.70610046386719,73.7355728149414,97.47737884521484
2018-05-04,52.11472702026367,57.49379348754883,24.574338912963867,66.03821563720703,63.909324645996094,43.4555549621582,43.90211868286133,74.32283782958984,98.75910186767578
2018-05-07,52.09669876098633,57.57166290283203,24.736541748046875,66.47685241699219,64.353515625,43.18444061279297,43.67201614379883,74.21273040771484,99.09141540527344
2018-05-08,51.98850631713867,58.02320098876953,24.907760620117188,66.95207977294922,64.49527740478516,43.0095329284668,42.58106231689453,73.65299224853516,98.67366790771484
2018-05-09,52.73685836791992,59.206539154052734,25.2772274017334,67.67408752441406,65.28919219970703,43.07075500488281,42.28274917602539,74.07508850097656,99.01543426513672
2018-05-10,53.115543365478516,59.65031814575195,25.4845027923584,68.13102722167969,66.13982391357422,43.324363708496094,42.879371643066406,75.06607055664062,99.37621307373047
2018-05-11,53.09750747680664,59.73593521118164,25.466472625732422,68.27721405029297,66.04530334472656,43.324363708496094,42.93903732299805,76.18550109863281,99.5851058959961
2018-05-14,53.30489730834961,60.148555755615234,25.448450088500977,68.1584243774414,66.03584289550781,43.30687713623047,42.7770881652832,76.69015502929688,99.77498626708984
2018-05-15,53.14259719848633,60.16413116455078,25.403396606445312,67.92993927001953,65.41207885742188,43.14072036743164,42.41912078857422,75.69917297363281,99.19581604003906
2018-05-16,53.77374267578125,60.374324798583984,25.448450088500977,68.17671203613281,65.70503997802734,43.44680404663086,42.08673095703125,76.12126922607422,100.02180480957031
