date,ensemble,dji
2022-12-19,919824.6258172216,895380.2541701033
2022-12-20,918264.406281516,897900.3873144508
2022-12-21,931158.8544991674,912298.1280246429
2022-12-22,919823.901861678,902758.928118602
2022-12-23,925598.9755824804,907581.7003931869
2022-12-27,924028.4197735508,908610.2324687493
2022-12-28,913414.5378243092,898610.3125475467
2022-12-29,925658.7779575948,908042.8474952687
2022-12-30,921357.0223051214,906032.4425901753
2023-01-03,919075.9578369207,905735.0833219888
2023-01-04,927835.0563705512,909381.3379031633
2023-01-05,916290.634344985,900096.3614863693
2023-01-06,940209.6434432134,919244.376466443
2023-01-09,940139.8603375158,916156.751576885
2023-01-10,945922.9299005192,921253.1797955856
2023-01-11,958678.7993102788,928603.4524638911
2023-01-12,959624.777256652,934533.6611225446
2023-01-13,963021.3619793996,937612.5307302385
2023-01-17,960390.5929282828,926904.3939236209
2023-01-18,942921.4959920036,910124.5759160346
2023-01-19,928597.5443036642,903225.5205789164
2023-01-20,944115.0007081748,912271.0080052104
2023-01-23,954352.4287424613,919215.6548710598
2023-01-24,956826.2244765232,922069.3429000804
2023-01-25,956183.0153719932,922339.3686053744
2023-01-26,965749.4058911124,927958.3376709349
2023-01-27,975180.280130271,928741.9353977648
2023-01-30,964596.5357940436,921608.1957979986
2023-01-31,981267.8401916266,931692.8924728599
2023-02-01,993372.10791471,931882.0919785068
2023-02-02,1007958.1166274786,930815.549167047
2023-02-03,990736.0907867192,927318.7750079412
2023-02-06,989809.4599273443,926362.3138501619
2023-02-07,992101.4998595952,933624.0727542569
2023-02-08,983731.8820693732,927947.4469544699
2023-02-09,978223.813862586,921137.7595554026
2023-02-10,978572.664013648,925767.8088572489
2023-02-13,990143.399395728,936063.272927227
2023-02-14,992468.1028030156,931781.1926936104
2023-02-15,1000071.366596961,932841.2224295373
2023-02-16,985406.7374953908,921055.0114646145
2023-02-17,989890.437004058,924603.9969997144
2023-02-21,966289.0603455649,905549.7275986237
2023-02-22,967017.5492524252,903240.041534203
2023-02-23,967777.564991454,906214.488389909
2023-02-24,958159.324192504,897003.3980103089
2023-02-27,965017.622906188,898976.0057229648
2023-02-28,961195.8409313957,892623.9419588875
2023-03-01,954411.5534786978,892764.453555632
2023-03-02,960461.4004559316,902105.1648155118
2023-03-03,974365.9929013052,912694.1443713948
2023-03-06,971804.0113491812,913800.4062664328
2023-03-07,959176.7174038688,898084.1414618652
2023-03-08,960262.4615750113,896497.0864664163
2023-03-09,943910.4153256216,881640.2273170133
2023-03-10,942966.5123944008,872204.1689021997
2023-03-13,942809.340779563,869730.4814604238
2023-03-14,942781.3013111792,878921.6589123697
2023-03-15,942073.8924461276,871245.5723098196
2023-03-16,942049.2925389622,881413.1238471989
2023-03-17,941795.4494412754,870901.4470238715
2023-03-20,942368.2882365712,881359.2575093893
2023-03-21,943190.147296996,889997.1972420863
2023-03-22,943133.650771422,875497.0090569119
2023-03-23,943153.8817345568,877550.8700561352
2023-03-24,943514.310032042,881166.5345366508
2023-03-27,944106.1049025102,886484.3005517429
2023-03-28,944252.7413566116,885450.2697320831
2023-03-29,945664.3017310244,894288.566616217
2023-03-30,946714.6632265076,898154.3972602374
2023-03-31,948908.5458862672,909501.0290125484
2023-04-03,952291.9269632554,918439.1040784131
2023-04-04,950443.0857420334,
