date,a2c,dji
2022-02-16,1070976.9210787392,1017706.7072209007
2022-02-17,1067318.7196627236,999579.633696399
2022-02-18,1066587.3208437539,992796.1915313601
2022-02-22,1051156.6316881753,978737.931538329
2022-02-23,1034441.5058184244,965195.9687622546
2022-02-24,1029180.7526064493,967878.051439453
2022-02-25,1058360.4431887246,992201.0329585845
2022-02-28,1050937.2157106972,987360.7892235103
2022-03-01,1041706.9604464151,969949.9543332437
2022-03-02,1056131.9966555214,987324.3741674323
2022-03-03,1054508.1898012734,984507.5557827451
2022-03-04,1049466.5037203408,979267.8844013149
2022-03-07,1020564.6904574014,956037.3545645248
2022-03-08,1001837.8739138223,950655.55066734
2022-03-09,1016317.4972200968,969696.5283023505
2022-03-10,1011903.3167849161,966428.5046134462
2022-03-11,997741.0929232218,959731.6620036429
2022-03-14,996236.2659273722,959762.1596131083
2022-03-15,1021929.9117251016,977215.2132090154
2022-03-16,1033429.4749117472,992327.8028725561
2022-03-17,1043766.8511782266,1004495.0972816844
2022-03-18,1052365.409298954,1012482.170847153
2022-03-21,1050462.4074526406,1006599.204740694
2022-03-22,1064093.538205204,1014012.513578833
2022-03-23,1054032.9366884804,1000933.3634061004
2022-03-24,1061704.621899662,1011113.3061297692
2022-03-25,1067111.9708529091,1015579.1575695408
2022-03-28,1079199.0519686318,1018336.5738940007
2022-03-29,1091779.5183687783,1028191.9674303739
2022-03-30,1086854.8035708047,1026287.2324033914
2022-03-31,1078380.8536959267,1010251.2934741717
2022-04-01,1086163.2202272988,1014327.3900168579
2022-04-04,1091575.4208956338,1017345.7429775272
2022-04-05,1083995.6314669228,1009168.4007440506
2022-04-06,1084606.403958378,1004953.9269882677
2022-04-07,1095413.9594088173,1007490.1218470535
2022-04-08,1095506.0211153603,1011497.257377292
2022-04-11,1086214.1365328408,999464.4710815522
2022-04-12,1087135.307599125,996909.0445212752
2022-04-13,1099556.6513643838,1006937.1819799184
2022-04-14,1094659.7460909463,1003634.7915818405
2022-04-18,1089376.8828402138,1002482.9378392716
2022-04-19,1110538.7139711953,1017034.6218421602
2022-04-20,1117647.118496952,1024305.6843674944
2022-04-21,1113692.7352419472,1013584.2952787653
2022-04-22,1093726.3288088418,984995.1761430401
2022-04-25,1099469.249508915,991930.4235731044
2022-04-26,1070910.0222139931,968354.405891774
2022-04-27,1073755.1725893593,970153.3096620296
2022-04-28,1091397.4020205117,988053.8132594957
2022-04-29,1054185.5036135293,960693.5884693546
2022-05-02,1048743.6453219033,963149.1012195174
2022-05-03,1045856.7684145548,965109.369207019
2022-05-04,1071503.4924746132,992268.2870152786
2022-05-05,1039500.1487703897,961298.3059943506
2022-05-06,1036504.649548588,958425.9546491443
2022-05-09,1023670.6178560831,939383.15626133
2022-05-10,1017707.1601992227,936908.1273170502
2022-05-11,1004457.8617373087,927392.7024682808
2022-05-12,1006124.2534914591,924368.5458580491
2022-05-13,1027886.908368168,937954.548092568
2022-05-16,1025160.808468876,938734.1147852638
2022-05-17,1027024.942730961,951294.9762926606
2022-05-18,960650.0961428263,917370.1410650994
2022-05-19,948450.6441774942,910467.6102869802
2022-05-20,945273.260800419,910723.0846647779
2022-05-23,961356.0594454386,928736.5887331362
2022-05-24,966006.3219576456,930145.9652004068
2022-05-25,973435.399838505,935729.4174706239
2022-05-26,993905.6542177774,950788.0673323491
2022-05-27,1011711.5528078653,967561.4680456745
2022-05-31,1008031.0242128946,961069.6877204106
2022-06-01,995655.0826540567,955916.5020971658
2022-06-02,1014708.4914675333,968590.4209739799
2022-06-03,998883.1275759317,958435.5136013648
2022-06-06,1002017.6786928751,958904.016057219
2022-06-07,1005089.8293581583,966605.3452295252
2022-06-08,994593.5182161905,958761.769744414
2022-06-09,978796.4853640177,940172.3388047713
2022-06-10,964638.9763460733,914536.1393258254
2022-06-13,937232.1331453897,889015.045563201
2022-06-14,928997.3186770059,884589.5920762658
2022-06-15,936866.072293339,893436.9713415785
2022-06-16,918845.1533327677,871836.7549451077
2022-06-17,919151.0565462686,870721.2593600919
2022-06-21,944167.1663637735,889408.6126614695
2022-06-22,943170.7231722452,888035.9357429025
2022-06-23,960504.1327791788,893694.2095736548
2022-06-24,984216.3861208536,917679.2138535619
2022-06-27,979400.9962282755,915860.7938891894
2022-06-28,959122.1825838663,901549.1078652652
2022-06-29,963298.7444887735,903947.2669021052
2022-06-30,959963.057461796,896551.1983170782
2022-07-01,974818.0828981973,905926.7665910978
2022-07-05,976063.5117006876,902155.9306356908
2022-07-06,977232.6087008097,904191.0770822527
2022-07-07,984777.2512789347,914296.1413468609
2022-07-08,983547.3022280313,912944.4030855387
2022-07-11,975098.5069857218,908157.7008626044
2022-07-12,971446.096448002,902549.4977339593
2022-07-13,974095.0787020304,896474.2715111133
