date,ddpg,dji
2022-02-24,1029180.8947412263,967878.051439453
2022-02-25,1058360.480320145,992201.0329585845
2022-02-28,1050937.3865548861,987360.7892235103
2022-03-01,1041707.0451547395,969949.9543332437
2022-03-02,1056132.138797928,987324.3741674323
2022-03-03,1054508.3606454623,984507.5557827451
2022-03-04,1049466.6745645297,979267.8844013149
2022-03-07,1020564.8613015901,956037.3545645248
2022-03-08,1001838.0636483919,950655.55066734
2022-03-09,1016317.5343667757,969696.5283023505
2022-03-10,1011903.5065347444,966428.5046134462
2022-03-11,997741.3400766145,959731.6620036429
2022-03-14,996236.5130807649,959762.1596131083
2022-03-15,1021930.0062906038,977215.2132090154
2022-03-16,1033429.5883218538,992327.8028725561
2022-03-17,1043766.9170419466,1004495.0972816844
2022-03-18,1052365.5514718783,1012482.170847153
2022-03-21,1050462.41586702,1006599.204740694
2022-03-22,1064093.6040689242,1014012.513578833
2022-03-23,1054033.1551248324,1000933.3634061004
2022-03-24,1061704.840336014,1011113.3061297692
2022-03-25,1067112.1129953158,1015579.1575695408
2022-03-28,1079199.346698929,1018336.5738940007
2022-03-29,1091779.6604959262,1028191.9674303739
2022-03-30,1086854.869419266,1026287.2324033914
2022-03-31,1078381.0721322787,1010251.2934741717
2022-04-01,1086163.2573587191,1014327.3900168579
2022-04-04,1091575.5819131625,1017345.7429775272
2022-04-05,1083995.8499032748,1009168.4007440506
2022-04-06,1084606.4410897982,1004953.9269882677
2022-04-07,1095414.044117142,1007490.1218470535
2022-04-08,1095506.268284012,1011497.257377292
2022-04-11,1086214.431263138,999464.4710815522
2022-04-12,1087135.4210244906,996909.0445212752
2022-04-13,1099556.688495804,1006937.1819799184
2022-04-14,1094659.993259598,1003634.7915818405
2022-04-18,1089376.9199716342,1002482.9378392716
2022-04-19,1110538.9611093295,1017034.6218421602
2022-04-20,1117647.1367685092,1024305.6843674944
2022-04-21,1113692.877384354,1013584.2952787653
2022-04-22,1093726.5759774935,984995.1761430401
2022-04-25,1099469.4203683627,991930.4235731044
2022-04-26,1070910.1930734408,968354.405891774
2022-04-27,1073755.4197274935,970153.3096620296
2022-04-28,1091397.6204568637,988053.8132594957
2022-04-29,1054185.6457406771,960693.5884693546
2022-05-02,1048743.7111703646,963149.1012195174
2022-05-03,1045856.8629647981,965109.369207019
2022-05-04,1071503.5583078158,992268.2870152786
2022-05-05,1039500.3483316194,961298.3059943506
2022-05-06,1036504.8204080354,958425.9546491443
2022-05-09,1023670.6549875032,939383.15626133
2022-05-10,1017707.2260476839,936908.1273170502
2022-05-11,1004458.0801889192,927392.7024682808
2022-05-12,1006124.2430459749,924368.5458580491
2022-05-13,1027887.1268045198,937954.548092568
2022-05-16,1025160.8743020784,938734.1147852638
2022-05-17,1027025.2087442171,951294.9762926606
2022-05-18,960650.343296219,917370.1410650994
2022-05-19,948450.862613846,910467.6102869802
2022-05-20,945273.4029275667,910723.0846647779
2022-05-23,961356.0965768587,928736.5887331362
2022-05-24,966006.4353982698,930145.9652004068
2022-05-25,973435.5132638704,935729.4174706239
2022-05-26,993905.6437722932,950788.0673323491
2022-05-27,1011711.5899545442,967561.4680456745
2022-05-31,1008031.1187783967,961069.6877204106
2022-06-01,995655.2247964632,955916.5020971658
2022-06-02,1014708.5573007356,968590.4209739799
2022-06-03,998883.2508584749,958435.5136013648
2022-06-06,1002017.8971444856,958904.016057219
2022-06-07,1005089.8952066194,966605.3452295252
2022-06-08,994593.7079355012,958761.769744414
2022-06-09,978796.7325174104,940172.3388047713
2022-06-10,964639.166065384,914536.1393258254
2022-06-13,937232.4278756868,889015.045563201
2022-06-14,928997.3558236848,884589.5920762658
2022-06-15,936866.2144204866,893436.9713415785
