date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2022-02-08,988693.1918267441,1008674.5653681186,1013780.2726069337,1028257.5052841796,1042921.1032889787,1033103.3343218503,996968.6156385393
2022-02-09,999252.9881361657,1018462.8985742953,1025804.5862131959,1039461.6978043212,1059516.3979590836,1041996.6875954616,1017921.3204043738
2022-02-10,983423.2783565865,1000981.7375635531,1011072.4009562379,1023446.5274399413,1040641.3337500993,1026659.5763517894,994170.4146894986
2022-02-11,959904.0443722267,984255.621398392,996655.0756464845,1006918.7996262206,1027938.3654654924,1011990.6813871495,963626.6226531876
2022-02-14,963429.0229740486,984046.9515222934,993209.7550364381,1003707.8215378417,1020873.887659401,1006983.2697852672,964623.7920363111
2022-02-15,981252.5621937179,996684.496978226,1007189.6112452394,1017135.3873032226,1034160.761614174,1019296.4520128081,988436.2285950072
2022-02-16,983827.1207375297,999829.5344080356,1011338.5612650758,1020560.5810440673,1037733.689676613,1017706.7072209007,987274.7348875593
2022-02-17,963378.3914416771,985205.4276575473,990852.8289500123,1004817.8979843749,1020007.6381476823,999579.633696399,958076.3028677532
2022-02-18,958937.5876064034,980710.7842096713,984796.524758423,999994.2860153808,1013366.1985953752,992796.1915313601,947110.8066845472
2022-02-22,935213.644039463,964566.6115717319,965484.5284968263,986436.4754074706,1003242.5657065812,978737.931538329,937713.0926346193
2022-02-23,908627.9543991737,942632.4008631137,945670.0030070192,968653.1042374267,987747.985315651,965195.9687622546,913300.9944295441
2022-02-24,921874.9872756234,952795.6113733676,956384.9077006227,976196.7468155517,1001025.7592414323,967878.051439453,944753.4227357128
2022-02-25,942444.1796381111,976357.2642206576,978580.0985194093,1002917.8544205321,1025017.3726066056,992201.0329585845,959253.9715287806
2022-02-28,945118.6379761238,979514.2236322787,986440.5262843019,1002105.8693741454,1028272.164171547,987360.7892235103,962542.9007633588
2022-03-01,931891.3802557258,967338.0859064487,973793.179848755,989634.6562851561,1014343.94853434,969949.9543332437,946870.8231896018
2022-03-02,949816.8100760079,984578.1088556674,995110.0915614015,1007296.4755600585,1035073.8898642961,987324.3741674323,962940.4745203218
2022-03-03,933892.0714068031,979431.8535761264,985027.6169062501,1004739.4842575683,1034506.5189383927,984507.5557827451,948846.2141530843
2022-03-04,921739.3270828743,975900.9632563022,980608.0912867433,1002736.0983780517,1035243.5679496232,979267.8844013149,935502.4056117187
2022-03-07,882058.6251251716,948707.6960291293,951113.0213786012,975785.8778580321,1015535.3212226335,956037.3545645248,900452.7336496803
2022-03-08,878881.7514450569,940934.9831995395,952885.041718567,965825.8231857909,1011869.0287574235,950655.55066734,896952.8698163813
2022-03-09,903083.2983887214,957432.2484735873,968588.6665278322,984887.869908203,1027465.6117881242,969696.5283023505,929037.3756963069
2022-03-10,906502.4776794929,959456.5590967563,976236.6825419313,986595.537083496,1027677.4955390397,966428.5046134462,918815.5312564473
2022-03-11,890521.3175156135,947400.6247400668,963522.8507090455,975811.7372482909,1017165.1704200212,959731.6620036429,899266.2842995668
2022-03-14,879730.6496155281,942275.7327112582,952635.3247843629,973411.1953323974,1006775.6773322526,959762.1596131083,882014.2108520734
2022-03-15,907051.7399628181,964657.7168726352,965558.561905945,994321.1749008788,1018959.6869910661,977215.2132090154,909861.9352176605
2022-03-16,932423.8347809333,981272.2537226108,985838.7520686036,1010399.5260666503,1034098.7185538713,992327.8028725561,943544.6585516814
2022-03-17,946274.4570114631,993050.9240564731,1003988.360657776,1024328.1446579589,1048437.4125770036,1004495.0972816844,954483.7466474108
2022-03-18,962713.4080612678,1001821.0705408481,1014824.0105143434,1032609.2448319091,1055774.2593024673,1012482.170847153,974865.2444811224
2022-03-21,956405.1863663215,1000055.8681177524,1018624.0207682496,1032258.8985642089,1064350.4280799332,1006599.204740694,971891.2977099237
2022-03-22,977073.5127136726,1013458.1408991244,1031950.089135254,1042350.7409866942,1070531.4887259903,1014012.513578833,990701.6463792037
2022-03-23,965565.9100449104,1004575.0587610629,1024804.7409525758,1031755.5386551513,1065142.529871315,1000933.3634061004,976722.3272127089
2022-03-24,972966.5408432502,1012640.8945307162,1031756.9367457277,1042481.5537003173,1081441.5795615616,1011113.3061297692,998230.1299773055
2022-03-25,973245.1668121833,1017205.631164017,1037988.8295679933,1048040.3392838134,1090571.5883353653,1015579.1575695408,997460.7303486693
2022-03-28,994804.8061172981,1030674.3476099399,1045757.4836741334,1058351.103413452,1090911.6397651138,1018336.5738940007,1013218.7662471632
2022-03-29,1010391.5112564582,1043799.5162653354,1056511.0425806886,1069827.9909104002,1103203.619600624,1028191.9674303739,1030249.737982257
