date,ensemble,dji
2022-07-15,907672.911726379,855219.6161022446
2022-07-18,907608.2242359156,849325.1225872926
2022-07-19,917345.661615562,869946.694213773
2022-07-20,918219.506527328,871252.9395591929
2022-07-21,919890.9047214504,875682.6317096023
2022-07-22,918502.8603000636,871921.2238175699
2022-07-25,923788.5615852352,874401.744650069
2022-07-26,920219.1624599452,868156.0255291206
2022-07-27,928234.4503087992,880074.8469827644
2022-07-28,937656.740167808,889150.7109662574
2022-07-29,947970.2770895,897774.3966729929
2022-08-01,947283.4323514932,896497.0864664163
2022-08-02,946959.8535360332,885502.7480374022
2022-08-03,946886.5175268168,896882.5324118934
2022-08-04,945995.7916978828,894540.6012849978
2022-08-05,946699.3861726752,896635.6761720199
2022-08-08,947013.7252557748,897430.2713870449
2022-08-09,947328.5774393076,895841.4012721851
2022-08-10,951498.2171812052,910467.6334846823
2022-08-11,954254.1760854716,911210.0173237132
2022-08-12,958413.8361444467,922809.8048479704
2022-08-15,957816.2616388316,926947.8500177509
2022-08-16,959763.1608495706,933496.1602216582
2022-08-17,957736.8649583812,928803.2223708129
2022-08-18,961507.583963966,929314.8725012079
2022-08-19,956326.9557558056,921325.2507133685
2022-08-22,949182.3345659252,903746.2463063655
2022-08-23,954297.2208677288,899536.3437622621
2022-08-24,957342.5626268382,901166.5345366508
2022-08-25,965750.5965974804,909982.9966019897
2022-08-26,947492.735198402,882420.3549626165
2022-08-29,947232.785256004,877379.7683587316
2022-08-30,934064.3595949168,868957.7210641939
2022-08-31,927230.023359489,861292.3116346485
2022-09-01,922030.3730958937,865282.7448876362
2022-09-02,921239.5419290538,856044.5344886034
2022-09-06,921078.5753416056,851312.037711775
2022-09-07,921940.5877382272,863228.8838884128
2022-09-08,921871.328947639,868510.8279880736
2022-09-09,922358.7624120708,878820.8130133385
2022-09-12,922974.0721555706,885097.389164271
2022-09-13,919348.368258476,850209.6729848838
2022-09-14,919696.495171165,851032.9364094269
2022-09-15,917449.0052751536,846296.8627796419
2022-09-16,917278.4793542858,842486.5534352469
2022-09-19,917569.3458513255,847878.3656451281
2022-09-20,916760.7354806896,839310.6817108035
2022-09-21,915301.5917623516,825030.2297460701
2022-09-22,914055.7709468838,822102.8158374507
2022-09-23,909150.2578538893,808811.3370222966
2022-09-26,906667.7058862684,799802.2053700841
2022-09-27,906155.7848485945,796363.0879452047
2022-09-28,912456.7979043956,811362.3805824933
2022-09-29,908853.7534637448,798840.0319247473
2022-09-30,908568.1940319056,785170.5277993546
2022-10-03,909589.927438354,806091.1136558373
2022-10-04,910669.902566528,828653.047932499
2022-10-05,910553.454762077,827492.706156191
2022-10-06,909362.3585866924,818009.881723616
2022-10-07,905333.112980842,800785.6263897007
2022-10-10,904121.4883913036,798218.780613457
2022-10-11,903648.8159891124,799211.2238442628
2022-10-12,902429.4679822916,798436.5949427569
2022-10-13,902078.8973424908,821065.2615506992
2022-10-14,900719.0474966044,810025.4917505492
2022-10-17,903103.8999608988,825086.0179750208
2022-10-18,905260.8325281136,834324.2283740534
2022-10-19,904107.2371171945,831591.1390141231
2022-10-20,900100.620850181,829125.0857510457
2022-10-21,908204.0163148874,849597.1235695925
2022-10-24,912552.6523199074,860996.8208717378
2022-10-25,918859.5106042856,870211.5414901597
2022-10-26,920740.8834909432,870276.2985444344
2022-10-27,921378.9916296,875583.6543158469
2022-10-28,930093.350764274,898230.0984168422
2022-10-31,929441.2619237896,894708.1261294447
2022-11-01,929323.6060567852,892528.2744887637
2022-11-02,926621.0432104106,878712.8134083939
2022-11-03,926935.5728361126,874708.1795153097
2022-11-04,926761.9811246868,885695.4710101407
2022-11-07,926937.5284940716,897278.8690738353
2022-11-08,926878.8620862956,906403.5811238257
2022-11-09,925562.559955406,888721.8089266506
